feedback_id,rating,feedback_text,feedback_category,sentiment,feedback_date
2234710,4,"It was okay, nothing special.",Delivery,Neutral,17-07-24
5450964,3,The order was incorrect.,App Experience,Negative,28-05-24
482108,3,"It was okay, nothing special.",App Experience,Neutral,23-09-24
4823104,4,The product met my expectations.,App Experience,Neutral,24-11-23
3537464,3,Product was damaged during delivery.,Delivery,Negative,20-11-23
4089724,2,Product was damaged during delivery.,Customer Service,Negative,18-03-23
230696,4,Highly recommended!,Product Quality,Positive,16-04-23
2259308,2,I had a bad experience.,App Experience,Negative,31-03-24
7380970,3,Product was damaged during delivery.,Delivery,Negative,14-07-23
2257242,3,The product met my expectations.,App Experience,Neutral,09-08-23
1837573,2,Taste was not as expected.,Delivery,Negative,30-08-23
258023,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,25-04-23
3081099,4,The product met my expectations.,Customer Service,Neutral,22-10-23
3158837,5,Highly recommended!,App Experience,Positive,28-01-24
9465932,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,15-03-24
8111644,4,"Overall good experience, thank you!",Customer Service,Positive,03-02-24
121425,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,26-04-23
8267419,4,"Average experience, could improve.",Delivery,Neutral,30-04-24
7168244,1,Product was damaged during delivery.,Delivery,Negative,27-07-23
2482108,3,Not worth the price I paid.,Customer Service,Negative,09-12-23
3769939,2,Items were missing from my order.,Product Quality,Negative,01-07-23
9592296,2,Customer service was not helpful.,Product Quality,Negative,21-03-23
1592958,5,"Overall good experience, thank you!",Delivery,Positive,28-05-24
2088819,3,"It was okay, nothing special.",Delivery,Neutral,16-06-24
3567003,2,I had a bad experience.,App Experience,Negative,26-06-24
2903160,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,23-06-24
7511717,3,The product met my expectations.,Customer Service,Neutral,07-05-24
1055307,3,Delivery was late and I was unhappy.,Product Quality,Negative,13-07-24
1477592,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,27-03-24
7898352,3,I had a bad experience.,Product Quality,Negative,02-11-24
8804364,3,The product met my expectations.,Delivery,Neutral,25-06-23
1208337,4,The product met my expectations.,Customer Service,Neutral,02-05-23
4382390,4,Great prices and fast delivery!,App Experience,Positive,04-08-24
4858018,4,"Overall good experience, thank you!",Customer Service,Positive,11-08-23
2400571,4,Great prices and fast delivery!,App Experience,Positive,28-07-24
3093140,4,"Average experience, could improve.",App Experience,Neutral,05-04-23
9407783,4,The product met my expectations.,App Experience,Neutral,26-04-24
1180902,4,"It was okay, nothing special.",App Experience,Neutral,12-05-23
6888502,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,02-06-24
8679241,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,23-07-23
7512781,3,The order was incorrect.,Product Quality,Negative,24-07-23
5356601,4,"Average experience, could improve.",Customer Service,Neutral,06-05-23
9043273,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,06-12-23
3470106,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,18-06-24
5957700,4,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,08-11-23
8956798,5,"Excellent quality, will buy again!",Delivery,Positive,17-03-23
4843776,4,"Average experience, could improve.",Product Quality,Neutral,01-11-24
8241448,3,Product was damaged during delivery.,Customer Service,Negative,21-08-24
1664531,3,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,01-01-24
4940244,5,Will definitely order again.,App Experience,Positive,08-02-24
7165598,3,The packaging was poor.,App Experience,Negative,21-04-24
4424806,4,Good selection of products.,Customer Service,Positive,26-07-23
2074845,1,Delivery was late and I was unhappy.,Delivery,Negative,16-07-24
417728,4,"It was okay, nothing special.",Customer Service,Neutral,02-05-24
5642561,4,"Overall good experience, thank you!",App Experience,Positive,30-12-23
261554,4,"It was okay, nothing special.",Delivery,Neutral,03-02-24
1822011,3,"It was okay, nothing special.",Delivery,Neutral,01-08-23
4763044,4,"Excellent quality, will buy again!",Delivery,Positive,03-05-24
5621837,3,Product was damaged during delivery.,Product Quality,Negative,17-10-23
4571579,2,The order was incorrect.,Product Quality,Negative,01-11-23
3853657,4,"Delivery was fine, but the product could be better.",Product Quality,Neutral,15-08-23
7245923,2,I had a bad experience.,Delivery,Negative,09-10-24
2338813,3,Delivery was late and I was unhappy.,Product Quality,Negative,01-11-24
2222062,1,Items were missing from my order.,App Experience,Negative,23-10-23
6813661,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,11-07-24
4065309,3,"It was okay, nothing special.",Delivery,Neutral,11-11-23
3025076,3,"Average experience, could improve.",Product Quality,Neutral,26-01-24
9329920,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,20-05-24
1307363,3,Very disappointed with the quality.,Product Quality,Negative,04-03-24
1930153,4,"Excellent quality, will buy again!",App Experience,Positive,23-03-24
5614682,1,Customer service was not helpful.,Customer Service,Negative,17-02-24
6784407,4,"Excellent quality, will buy again!",Delivery,Positive,24-04-23
2013422,4,The product met my expectations.,Product Quality,Neutral,05-07-23
344048,4,"It was okay, nothing special.",App Experience,Neutral,06-02-24
3089818,3,"It was okay, nothing special.",Product Quality,Neutral,04-01-24
5340615,3,The packaging was poor.,Customer Service,Negative,24-06-24
8229982,4,"Overall good experience, thank you!",Product Quality,Positive,11-06-24
2195625,4,The product met my expectations.,Customer Service,Neutral,09-10-23
4371570,3,"It was okay, nothing special.",App Experience,Neutral,09-04-23
7289033,4,"Excellent quality, will buy again!",Product Quality,Positive,04-10-23
2978291,3,"Delivery was fine, but the product could be better.",Customer Service,Neutral,15-10-24
9074696,4,"Excellent quality, will buy again!",Customer Service,Positive,21-09-23
4994827,1,Customer service was not helpful.,App Experience,Negative,15-04-23
1932712,1,The packaging was poor.,Delivery,Negative,18-06-23
5568145,5,Great prices and fast delivery!,Delivery,Positive,24-01-24
8266029,4,The product met my expectations.,Delivery,Neutral,07-08-24
7621707,4,Highly recommended!,Product Quality,Positive,02-02-24
545267,2,The packaging was poor.,App Experience,Negative,17-01-24
2056599,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,27-12-23
2265740,4,Great prices and fast delivery!,Customer Service,Positive,18-12-23
2438008,5,Customer service was very helpful.,Customer Service,Positive,25-05-24
7517891,5,"Overall good experience, thank you!",Delivery,Positive,28-03-23
5506466,3,The product met my expectations.,Product Quality,Neutral,27-10-24
9785308,4,The product met my expectations.,App Experience,Neutral,13-01-24
3562195,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,17-04-24
1736546,5,"Overall good experience, thank you!",App Experience,Positive,20-07-23
8067827,4,Good selection of products.,Customer Service,Positive,08-10-23
5597699,2,Product was damaged during delivery.,App Experience,Negative,13-05-23
7041781,5,"Overall good experience, thank you!",App Experience,Positive,02-04-23
2333633,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,09-08-23
8661092,2,Taste was not as expected.,Product Quality,Negative,23-04-23
6765334,1,Not worth the price I paid.,App Experience,Negative,21-09-23
1452437,2,I had a bad experience.,App Experience,Negative,20-05-24
1280305,4,"Excellent quality, will buy again!",App Experience,Positive,17-05-23
2395160,1,Customer service was not helpful.,Delivery,Negative,19-07-24
5664217,5,Very happy with the service!,Customer Service,Positive,07-07-24
9261384,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,07-09-23
2930893,3,Very disappointed with the quality.,Delivery,Negative,27-08-24
7046969,3,The product met my expectations.,Customer Service,Neutral,30-10-24
29533,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,03-11-24
5840376,3,The product met my expectations.,Product Quality,Neutral,26-07-24
1755551,4,"Average experience, could improve.",Delivery,Neutral,14-09-24
6078718,5,"Overall good experience, thank you!",Product Quality,Positive,16-12-23
6559425,5,"Overall good experience, thank you!",Customer Service,Positive,09-04-23
4075651,2,Taste was not as expected.,App Experience,Negative,20-11-23
4329893,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,07-03-24
6376860,4,Will definitely order again.,Customer Service,Positive,26-07-23
4848501,2,Delivery was late and I was unhappy.,App Experience,Negative,08-08-24
3953251,3,Items were missing from my order.,Delivery,Negative,25-09-23
9293552,4,The product met my expectations.,Customer Service,Neutral,01-02-24
9483364,3,"Average experience, could improve.",Delivery,Neutral,11-04-23
5154122,5,Great prices and fast delivery!,Delivery,Positive,01-06-24
1883777,3,Very disappointed with the quality.,Delivery,Negative,08-09-23
4156770,2,Delivery was late and I was unhappy.,Delivery,Negative,24-06-24
6999355,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,20-03-24
8680329,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,07-04-24
3483069,3,"It was okay, nothing special.",Delivery,Neutral,17-05-23
3662619,4,"Average experience, could improve.",Delivery,Neutral,19-09-23
4364701,2,Customer service was not helpful.,Product Quality,Negative,08-02-24
4844693,1,The packaging was poor.,App Experience,Negative,22-04-24
1300567,4,Very fresh and well-packaged.,Product Quality,Positive,04-11-23
5430155,3,The product met my expectations.,Delivery,Neutral,30-12-23
3233069,1,Customer service was not helpful.,Delivery,Negative,15-07-24
3246894,4,Will definitely order again.,Product Quality,Positive,31-03-24
6084184,3,"Average experience, could improve.",Delivery,Neutral,16-01-24
8458237,2,Customer service was not helpful.,Customer Service,Negative,10-04-24
5909067,1,I had a bad experience.,Delivery,Negative,19-11-23
929702,5,Items were in perfect condition.,Delivery,Positive,02-10-23
6892019,4,The product met my expectations.,App Experience,Neutral,29-08-24
6001815,2,The packaging was poor.,App Experience,Negative,27-05-23
3856968,4,"It was okay, nothing special.",Delivery,Neutral,13-07-23
7342761,5,Great prices and fast delivery!,Customer Service,Positive,21-04-24
6301325,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,27-08-24
175550,4,Will definitely order again.,Customer Service,Positive,16-03-24
3584525,2,Delivery was late and I was unhappy.,Delivery,Negative,06-05-24
4434255,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,24-10-23
2332501,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,31-03-23
529507,5,"Overall good experience, thank you!",Product Quality,Positive,24-10-23
3049810,4,"Average experience, could improve.",App Experience,Neutral,01-07-24
5808553,4,"Overall good experience, thank you!",App Experience,Positive,24-12-23
2917013,4,"Excellent quality, will buy again!",Customer Service,Positive,19-07-23
