order_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method
1961864118,17-07-24 8:34,17-07-24 8:52,17-07-24 8:47,On Time,3197.07,Cash
1549769649,28-05-24 13:14,28-05-24 13:25,28-05-24 13:27,On Time,976.55,Cash
9185164487,23-09-24 13:07,23-09-24 13:25,23-09-24 13:29,On Time,839.05,UPI
9644738826,24-11-23 16:16,24-11-23 16:34,24-11-23 16:33,On Time,440.23,Card
5427684290,20-11-23 5:00,20-11-23 5:17,20-11-23 5:18,On Time,2526.68,Cash
3265154092,18-03-23 16:29,18-03-23 16:49,18-03-23 16:48,On Time,3161.43,UPI
4898355547,16-04-23 18:50,16-04-23 19:01,16-04-23 19:02,On Time,956.4,Card
6568151549,31-03-24 6:26,31-03-24 6:37,31-03-24 6:39,On Time,905.47,Cash
6006693867,13-07-23 23:49,14-07-23 0:02,14-07-23 0:05,On Time,1371.17,Card
374186990,09-08-23 1:17,09-08-23 1:37,09-08-23 1:44,Slightly Delayed,1601.19,Wallet
4455336265,30-08-23 19:37,30-08-23 19:47,30-08-23 19:45,On Time,2362.33,UPI
3539286337,25-04-23 20:32,25-04-23 20:44,25-04-23 20:39,On Time,1463.8,Wallet
9171116867,22-10-23 11:15,22-10-23 11:25,22-10-23 11:37,Slightly Delayed,822.63,Card
5504941865,28-01-24 2:39,28-01-24 2:55,28-01-24 3:06,Slightly Delayed,2287.68,Wallet
5868326481,15-03-24 21:07,15-03-24 21:24,15-03-24 21:21,On Time,1962.35,Wallet
2137046916,03-02-24 8:50,03-02-24 9:03,03-02-24 9:01,On Time,3373.96,UPI
8195544338,26-04-23 4:03,26-04-23 4:20,26-04-23 4:28,Slightly Delayed,845.71,Wallet
2889700050,30-04-24 16:22,30-04-24 16:33,30-04-24 16:36,On Time,2706.54,Wallet
65827885,27-07-23 0:13,27-07-23 0:25,27-07-23 0:20,On Time,1132.98,Cash
4656471694,09-12-23 8:08,09-12-23 8:27,09-12-23 8:35,Slightly Delayed,1525.5,Cash
6625178717,01-07-23 4:24,01-07-23 4:40,01-07-23 4:53,Slightly Delayed,5718.09,Card
7169557514,21-03-23 5:27,21-03-23 5:38,21-03-23 5:50,Slightly Delayed,2970.9,Card
2268306684,28-05-24 14:59,28-05-24 15:11,28-05-24 15:10,On Time,2991.57,Wallet
6905293278,16-06-24 10:23,16-06-24 10:36,16-06-24 11:02,Significantly Delayed,1404.68,Cash
1769493463,26-06-24 7:13,26-06-24 7:29,26-06-24 7:24,On Time,2541.32,Wallet
5003387344,23-06-24 10:53,23-06-24 11:05,23-06-24 11:00,On Time,2475.69,Wallet
2064484752,07-05-24 22:42,07-05-24 23:00,07-05-24 22:55,On Time,1949.92,Wallet
964822979,13-07-24 10:38,13-07-24 10:49,13-07-24 10:47,On Time,5804.23,Wallet
6037899648,27-03-24 17:44,27-03-24 18:00,27-03-24 18:04,On Time,1231.03,Cash
9347571484,02-11-24 17:15,02-11-24 17:26,02-11-24 17:39,Slightly Delayed,3138.06,Card
3286177534,24-06-23 23:52,25-06-23 0:09,25-06-23 0:07,On Time,3612.26,Wallet
9073572548,02-05-23 23:13,02-05-23 23:25,02-05-23 23:47,Significantly Delayed,1091.89,Card
8395583761,04-08-24 23:35,04-08-24 23:53,04-08-24 23:48,On Time,410.62,UPI
6355378227,11-08-23 16:52,11-08-23 17:06,11-08-23 17:05,On Time,5019.02,UPI
277376321,28-07-24 4:25,28-07-24 4:45,28-07-24 4:44,On Time,3694.48,Wallet
8559748526,05-04-23 18:07,05-04-23 18:27,05-04-23 18:28,On Time,1152.09,Wallet
1458051433,26-04-24 9:14,26-04-24 9:30,26-04-24 9:26,On Time,1055.18,UPI
5838302640,12-05-23 5:46,12-05-23 6:02,12-05-23 6:09,Slightly Delayed,3377.44,UPI
1380971977,02-06-24 13:04,02-06-24 13:21,02-06-24 13:16,On Time,3117.74,Cash
1221099013,23-07-23 10:45,23-07-23 11:01,23-07-23 11:03,On Time,4335.11,Wallet
6771166303,24-07-23 4:21,24-07-23 4:36,24-07-23 4:48,Slightly Delayed,816.38,Wallet
7111337755,06-05-23 5:52,06-05-23 6:07,06-05-23 6:04,On Time,1550.71,Cash
5562922993,06-12-23 2:04,06-12-23 2:14,06-12-23 2:17,On Time,2292.64,Wallet
5630957897,18-06-24 7:17,18-06-24 7:32,18-06-24 7:36,On Time,827.44,Wallet
1787380558,08-11-23 17:24,08-11-23 17:43,08-11-23 17:45,On Time,2066.77,Cash
32613017,17-03-23 0:20,17-03-23 0:36,17-03-23 0:36,On Time,2354.28,Card
2039041670,01-11-24 9:45,01-11-24 10:05,01-11-24 10:20,Slightly Delayed,96.33,Wallet
210693801,21-08-24 3:59,21-08-24 4:10,21-08-24 4:12,On Time,3561.22,UPI
8120002258,01-01-24 0:05,01-01-24 0:15,01-01-24 0:11,On Time,1213.05,Card
2177917034,08-02-24 20:03,08-02-24 20:16,08-02-24 20:25,Slightly Delayed,3134.8,Card
4254814926,21-04-24 6:14,21-04-24 6:34,21-04-24 6:33,On Time,3818.33,Wallet
6074172790,26-07-23 2:15,26-07-23 2:26,26-07-23 2:30,On Time,2008.84,Wallet
3381573131,16-07-24 0:33,16-07-24 0:47,16-07-24 0:42,On Time,114.52,Cash
3773745777,02-05-24 14:40,02-05-24 14:58,02-05-24 14:58,On Time,1488.19,Card
9251939156,30-12-23 12:39,30-12-23 12:51,30-12-23 12:58,Slightly Delayed,891.6,Cash
3872982303,03-02-24 1:04,03-02-24 1:24,03-02-24 1:25,On Time,1779.45,Wallet
2625987757,01-08-23 7:42,01-08-23 7:54,01-08-23 7:56,On Time,169.88,UPI
3162249401,03-05-24 13:21,03-05-24 13:31,03-05-24 13:31,On Time,4406.98,Cash
3108986741,17-10-23 19:29,17-10-23 19:43,17-10-23 19:44,On Time,2401.92,Wallet
1851474741,01-11-23 13:29,01-11-23 13:42,01-11-23 13:51,Slightly Delayed,3742.79,Card
2425099132,15-08-23 1:15,15-08-23 1:30,15-08-23 1:34,On Time,2498.22,Wallet
6706793332,09-10-24 21:50,09-10-24 22:04,09-10-24 22:16,Slightly Delayed,949.75,UPI
2149289255,01-11-24 15:00,01-11-24 15:20,01-11-24 15:39,Significantly Delayed,2687.31,Cash
1971008155,23-10-23 22:23,23-10-23 22:43,23-10-23 22:39,On Time,1866.01,Cash
2087093460,11-07-24 11:31,11-07-24 11:42,11-07-24 11:41,On Time,4198.33,Card
2116712588,11-11-23 20:33,11-11-23 20:48,11-11-23 20:51,On Time,44.35,Wallet
6054358790,26-01-24 10:11,26-01-24 10:31,26-01-24 10:26,On Time,3217.7,Wallet
532660797,20-05-24 6:25,20-05-24 6:37,20-05-24 6:51,Slightly Delayed,2683.73,UPI
